#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2019-05-05T08:56:54 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)
#INFO	-ref=VIZ5cce9f1010d24
#INFO	-out.max=unlimited
#INFO	queryParameters=19
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/ApJ/743/48&tab:{J/ApJ/743/48/catalog}&key:source=J/ApJ/743/48/catalog&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJ/743/48/catalog
#-order=I
#-out=Vmag
#-out=V-K
#-out=logLx
#-out=Prot
#-out=M*
#-out=R*
#-out=L*
#-out=Teff
#-out=dcz
#-out=Lx/bol
#
#
#RESOURCE=yCat_17430048
#Name: J/ApJ/743/48
#Title: Stellar rotation periods and X-ray luminosities (Wright+, 2011)
#Table	J_ApJ_743_48_catalog:
#Name: J/ApJ/743/48/catalog
#Title: Activity-rotation properties for 824 stars
#Column	Vmag	(F5.2)	? Observed V magnitude of star	[ucd=phot.mag;em.opt.V]
#Column	V-K	(F5.2)	Dereddened V-K colour of star (3)	[ucd=phot.color;em.opt.V;em.IR.K]
#Column	logLx	(F5.2)	Logarithm of the intrinsic X-ray luminosity of the star	[ucd=phys.luminosity;em.X-ray]
#Column	Prot	(F5.2)	Rotation period of the star	[ucd=time.period]
#Column	M*	(F5.2)	Mass of the star (4)	[ucd=phys.mass]
#Column	R*	(F5.2)	Radius of the star (4)	[ucd=phys.size.radius]
#Column	L*	(F5.2)	Bolometric luminosity of the star (4)	[ucd=phys.luminosity]
#Column	Teff	(I4)	Effective temperature of the star (4)	[ucd=phys.temperature.effective]
#Column	dcz	(F5.2)	Height of the radiative-convective boundary (as a function of the stellar radius) (4)	[ucd=pos.cartesian.z]
#Column	Lx/bol	(F5.2)	Logarithm of the X-ray to bolometric luminosity	[ucd=phys.luminosity;arith.ratio]
#Vmag;V-K;logLx;Prot;M*;R*;L*;Teff;dcz;Lx/bol
#mag;mag;[10-7W];d;Msun;Rsun;Lsun;K; ;[---]
#-----;-----;-----;-----;-----;-----;-----;----;-----;-----
12.40; 4.73;28.21; 4.38; 0.17; 0.18; 0.00;3201; 0.00;-2.98
 7.95; 1.95;29.14; 6.05; 1.03; 0.94; 0.80;5460; 0.72;-4.29
12.47; 4.27;28.25; 6.17; 0.24; 0.24; 0.01;3405; 0.00;-3.28
 6.39; 1.54;29.15; 7.78; 1.10; 1.03; 1.11;5687; 0.76;-4.43
12.82; 4.83;28.29; 1.09; 0.15; 0.17; 0.00;3163; 0.00;-2.83
12.18; 3.84;28.61; 8.35; 0.39; 0.34; 0.02;3654; 0.09;-3.34
13.07; 3.89;29.02; 0.55; 0.36; 0.33; 0.02;3619; 0.09;-2.88
 5.88; 1.95;27.60;48.00; 0.96; 0.87; 0.57;5222; 0.72;-5.75
13.37; 3.58;28.06; 3.08; 0.21; 0.22; 0.01;3325; 0.00;-3.36
10.87; 2.38;29.73; 0.23; 0.85; 0.77; 0.33;4837; 0.70;-3.38
14.09; 3.22;28.36; 0.70; 0.14; 0.16; 0.00;3115; 0.00;-2.68
14.25; 5.06;28.36; 0.67; 0.13; 0.15; 0.00;3078; 0.00;-2.60
10.44; 4.12;29.83; 2.17; 0.72; 0.63; 0.15;4308; 0.65;-2.94
 5.74; 2.73;26.94;38.50; 0.88; 0.79; 0.39;4954; 0.70;-6.11
11.81; 3.57;29.47; 1.30; 0.53; 0.45; 0.05;3851; 0.54;-2.84
14.29; 4.24;28.48; 0.87; 0.25; 0.24; 0.01;3422; 0.00;-3.07
12.90; 4.32;28.36; 5.53; 0.23; 0.23; 0.01;3380; 0.00;-3.14
10.93; 3.60;29.51; 0.25; 0.57; 0.48; 0.07;3916; 0.61;-2.89
 7.66; 1.95;28.14;15.86; 0.98; 0.89; 0.65;5317; 0.72;-5.18
 7.55; 1.95;28.71; 7.46; 1.00; 0.91; 0.70;5384; 0.72;-4.66
 6.59; 1.42;28.93; 5.67; 1.11; 1.05; 1.20;5727; 0.76;-4.65
 8.43; 1.88;28.96; 6.40; 0.94; 0.85; 0.54;5178; 0.70;-4.30
14.58; 5.02;28.11;18.20; 0.21; 0.21; 0.01;3310; 0.00;-3.29
 6.66; 1.29;29.55; 3.13; 1.26; 1.26; 2.32;6166; 0.88;-4.36
