,dAge,dMass,dSatXUVFrac,dSatXUVTime,dXUVBeta,dLRatioAge,dLXUVAge,dLbolAge,dRadiusAge,dTempAge
simulation_0,4.036806068898911,0.10384968543413063,-2.854341317139472,3.95890702766886,-1.1081480091697666,729.4844555990344,1.347527e-06,0.000983,0.127779,2855.173847
simulation_1,7.215851101051506,0.09764988078853197,-3.1086546866121694,8.947099798699085,-1.4859493083015094,1284.0758602944845,6.191223e-07,0.000795,0.121478,2780.026833
simulation_2,8.12833680007115,0.1037508246799182,-2.4619130491279115,8.856465047255064,-1.3067101274656254,289.66722781088566,3.390097e-06,0.000982,0.127686,2855.194698
simulation_3,5.107829357225528,0.10563230649622793,-2.9210752680786447,10.006798584552255,-1.2226542237683542,833.6917805239933,1.241466e-06,0.001035,0.129502,2872.074208
simulation_4,8.124659901165787,0.09247711661045244,-2.854666605652062,11.167504760518007,-1.3749901569369167,715.3168853802234,8.919124e-07,0.000638,0.115935,2698.190188
simulation_5,7.028519803740085,0.10241517157438428,-2.9520504786267727,11.341943602580256,-1.1383579734846725,895.3299475999365,1.053243e-06,0.000943,0.126435,2841.046554
simulation_6,8.165920484056121,0.10856587761230714,-3.067250336761928,11.4889890164345,-1.3063208668759287,1167.5649228902648,9.712522e-07,0.001134,0.132896,2901.270779
simulation_7,10.362025894785624,0.1089447775970826,-2.723614787996442,11.140046431964779,-1.7317669795148003,529.2360534844581,2.182391e-06,0.001155,0.13384,2905.737208
simulation_8,5.453663674115331,0.09175480543333173,-2.9380391208195915,2.893980973436334,-1.0960080877473382,1734.804847169061,3.539303e-07,0.000614,0.115109,2682.949395
simulation_9,7.4161738108129915,0.0924192981204705,-2.9464554281710047,6.224716389668112,-1.3602745531310645,1119.710030313156,5.680042e-07,0.000636,0.11587,2697.083076
simulation_10,8.882410345756576,0.09682093727137843,-2.9622059121684434,10.352399654328119,-1.0730859097672616,916.2116703263639,8.415086e-07,0.000771,0.120606,2768.820211
simulation_11,3.777744572274114,0.08902999397049151,-3.075341876152008,2.038082009319753,-1.7680409876840644,3546.046597078598,1.480522e-07,0.000525,0.111731,2619.565462
simulation_12,11.142067057791406,0.08174322107687035,-2.431899011329928,4.441677426218614,-1.2945316681956702,889.6439280921072,3.405857e-07,0.000303,0.10144,2394.889947
simulation_13,8.343498162203213,0.09663429450617483,-3.291744260577927,10.758179392992286,-1.2534241794058034,1956.4199767892794,3.905092e-07,0.000764,0.12041,2765.846768
simulation_14,10.453185095983134,0.10925629430214276,-2.824803210094436,9.613461718738543,-1.6621435138512244,767.3526334147191,1.51951e-06,0.001166,0.134182,2909.051954
simulation_15,9.234926178662828,0.10264159344597312,-3.4572714947847087,1.1616394878954206,-0.5341509894692211,8671.71545113871,1.097822e-07,0.000952,0.126649,2843.774399
simulation_16,9.016842063092298,0.09101474495407914,-2.4773752185346383,1.492338179593612,-1.2612253610550979,2900.0601076647313,2.041337e-07,0.000592,0.114239,2669.252443
simulation_17,7.815372486239303,0.07888948689305539,-2.6866293082109105,11.789871358144715,-1.2148519422065398,485.97277386131714,4.629889e-07,0.000225,0.096667,2274.359968
simulation_18,6.089918073848952,0.09885976029366383,-2.8768008007942263,5.089681050459348,-1.1752330019988413,929.6062380153978,8.950026e-07,0.000832,0.122763,2795.552346
simulation_19,7.144816589740142,0.09130346586426202,-3.5834551017244327,11.079691469880364,-0.7587462864468668,3832.3509081587626,1.568228e-07,0.000601,0.114582,2674.519837
simulation_20,7.603108276451405,0.08205083954295077,-3.0194478149909663,10.937765649780701,-0.8579885109854453,1044.784167812559,2.96712e-07,0.00031,0.101533,2408.325759
simulation_21,4.492252789700383,0.0935306264539486,-3.4838862318480515,9.485516553964782,-0.8642132895596834,3045.5743570833506,2.19663e-07,0.000669,0.117105,2716.41117
simulation_22,8.552213187320447,0.07379921160620381,-3.3486363185787638,11.067459536488538,-1.079498436526643,2241.732306257197,4.594661e-08,0.000103,0.090472,1928.672144
simulation_23,7.246974402594024,0.09697095809745987,-3.4781292152963466,7.410021294926414,-1.855630696506948,3008.4656281831503,2.576064e-07,0.000775,0.120764,2770.612289
simulation_24,9.642621060159136,0.1022115553515036,-3.2213424490507068,11.680841853527243,-1.60751778053233,1664.8873999574687,5.609989e-07,0.000934,0.126433,2834.89335
simulation_25,5.03396686642496,0.0700021469511022,-3.292012076329076,1.2870486960118253,-1.4738742652400416,14608.865433862959,3.463271e-09,5.059446e-05,0.090001,1627.085227
simulation_26,11.2199072873991,0.07207722183378046,-3.0087537573791927,8.680227557675183,-1.3111442022693909,1427.0472987726685,5.413206e-08,7.724901e-05,0.091,1795.963962
simulation_27,7.878512079365032,0.09106665688876532,-2.8561693274890207,10.786656208085823,-0.7762478952297087,717.6195940887023,8.263431e-07,0.000593,0.114301,2669.426486
simulation_28,5.555721422299521,0.08837630149337765,-2.9371649569548666,8.834446246029621,-1.0016298495828768,865.0308852212574,5.803261e-07,0.000502,0.110831,2602.378345
simulation_29,7.071059876410248,0.09933016647539517,-2.674246422376236,3.5254750441293496,-1.3479282193032789,1206.507849209595,7.020261e-07,0.000847,0.123269,2802.690776
simulation_30,6.503821895482753,0.08210469311183975,-2.9564646481419152,8.607138030511338,-1.0370611270296817,903.2093555063971,3.443277e-07,0.000311,0.101605,2410.05904
simulation_31,6.168403854296863,0.08076696715846006,-2.9879427264073937,7.911022676770434,-1.2214720980960958,971.1451952244627,2.883194e-07,0.00028,0.099886,2367.686909
simulation_32,10.558783118445916,0.07018371371143876,-3.275095400957293,2.905024571564105,-0.588701684019975,4025.812447673838,1.30193e-08,5.241326e-05,0.090092,1640.416331
simulation_33,4.5555818696211325,0.07137951569378144,-3.321587751638139,5.61480194748221,-1.3559279321511981,2096.95003493057,3.13479e-08,6.573498e-05,0.090734,1728.733354
simulation_34,6.348989389378975,0.10901216085529247,-3.0553906915173905,0.20845881843817604,-1.2170320273071606,72520.84737675244,1.584372e-08,0.001149,0.133512,2904.94977
simulation_35,6.377859314555444,0.10878651871544748,-2.612098781217914,2.0105055420249576,-0.9386374001916707,1208.5268566470884,9.432972e-07,0.00114,0.133197,2902.553394
simulation_36,7.054575217135294,0.07412457639742759,-2.5762993437902604,2.6874934029342024,-0.7116049537228197,750.4049777322487,1.452549e-07,0.000109,0.090445,1956.94599
simulation_37,7.034287624201107,0.07987150805415752,-3.3148545500227313,3.602383809916629,-1.6585686391099586,6271.00998580253,4.162009e-08,0.000261,0.098719,2336.094088
simulation_38,5.265635615023101,0.10478854341685524,-2.708458431572718,5.906429521572705,-1.0338765120753044,511.1528392492575,1.977882e-06,0.001011,0.12867,2864.192814
simulation_39,6.512199559029341,0.08203964717141425,-2.7642911982825047,0.20771963339289307,-0.8894962732038445,12452.059570652986,2.489548e-08,0.00031,0.101517,2407.982949
simulation_40,10.70564921867819,0.07755645634091403,-2.947470686557503,8.38272225729037,-1.1289412254682354,1168.0922180696996,1.600901e-07,0.000187,0.09509,2189.061776
simulation_41,4.696066721737951,0.1080422769262353,-2.6459343339304198,5.809466423461018,-0.7212270418519653,442.54989929203947,2.512711e-06,0.001112,0.132213,2894.963731
simulation_42,8.748690472744634,0.10183660719731064,-2.7712217577667357,10.951944983006198,-1.5129212739658755,590.214022543886,1.572311e-06,0.000928,0.125883,2834.926063
simulation_43,3.796119052913823,0.08764614547891156,-3.0699366161340786,6.405922245409648,-0.6099633404494813,1174.5210194940942,4.06123e-07,0.000477,0.109763,2581.344661
simulation_44,5.460518858089179,0.09235366084391887,-2.912612518996085,0.9444199450799362,-1.3509472173366095,8750.358896039239,7.233989e-08,0.000633,0.115795,2694.862833
simulation_45,6.982032511819992,0.09131081267584076,-2.883569601027536,10.070546475720358,-1.4314972323722328,764.258094544076,7.850751e-07,0.0006,0.11459,2674.625148
simulation_46,9.657198976947477,0.10842609699909396,-2.9663862169678685,10.220805959728212,-1.2627437734295794,925.4001989284584,1.227577e-06,0.001136,0.133269,2900.213933
simulation_47,8.976534199910482,0.10834389345529824,-2.8981432903864586,0.7026275823682148,-0.9976372863434116,10040.285978731714,1.121482e-07,0.001126,0.132602,2898.984226
simulation_48,7.981346938966082,0.08174122959842206,-2.753930264884238,10.84303405291083,-1.240377602708184,567.6565059899002,5.337735e-07,0.000303,0.101119,2398.474202
simulation_49,6.507609438083733,0.10899820188992994,-3.326614128202133,8.960405157080087,-1.313444955536779,2120.8245573748623,5.412989e-07,0.001148,0.133492,2904.770926
simulation_50,8.162483054736494,0.10371847181199542,-2.6719000929184804,2.784367043640545,-1.1135923811419222,1555.698526875604,6.305849e-07,0.000981,0.127656,2854.868776
simulation_51,7.522809040093856,0.10855060003431068,-2.3937342212149093,3.571275942932672,-1.7429379605154331,907.1511211282942,1.248965e-06,0.001133,0.132876,2901.115985
simulation_52,10.595570042163807,0.08439486692921902,-3.24031776917564,5.848421877437376,-0.4556113180784637,2282.0742756424133,1.61695e-07,0.000369,0.105153,2472.822434
simulation_53,5.250516129310018,0.10044316502898082,-2.8811583336565985,4.700626558963322,-1.0324540238017774,851.8668232120685,1.036547e-06,0.000883,0.124478,2816.953408
